experience_level,company_location,company_size,salary_in_usd
SE,KE,L,
SE,KE,S,
SE,KE,M,
SE,SI,L,102839.0
SE,SI,S,
SE,SI,M,
SE,CH,L,
SE,CH,S,
SE,CH,M,
SE,VN,L,
SE,VN,S,
SE,VN,M,
SE,AS,L,
SE,AS,S,
SE,AS,M,
SE,TR,L,20171.0
SE,TR,S,
SE,TR,M,
SE,CZ,L,
SE,CZ,S,
SE,CZ,M,
SE,DZ,L,
SE,DZ,S,
SE,DZ,M,
SE,EE,L,
SE,EE,S,
SE,EE,M,
SE,MY,L,
SE,MY,S,
SE,MY,M,
SE,AU,L,
SE,AU,S,
SE,AU,M,
SE,IE,L,
SE,IE,S,71444.0
SE,IE,M,
EN,DE,L,65135.333333333336
EN,DE,S,57958.6
EN,DE,M,49290.333333333336
EN,JP,L,
EN,JP,S,41689.0
EN,JP,M,
EN,GB,L,76621.66666666667
EN,GB,S,
EN,GB,M,49079.0
EN,HN,L,
EN,HN,S,
EN,HN,M,
EN,US,L,112590.90909090909
EN,US,S,84250.0
EN,US,M,79625.0
EN,HU,L,
EN,HU,S,
EN,HU,M,
EN,NZ,L,
EN,NZ,S,
EN,NZ,M,
EN,FR,L,36643.0
EN,FR,S,51321.0
EN,FR,M,49554.666666666664
EN,IN,L,25469.0
EN,IN,S,13036.0
EN,IN,M,18546.25
EN,PK,L,
EN,PK,S,
EN,PK,M,20000.0
EN,CN,L,100000.0
EN,CN,S,
EN,CN,M,
EN,GR,L,
EN,GR,S,
EN,GR,M,
EN,AE,L,
EN,AE,S,
EN,AE,M,
EN,NL,L,42000.0
EN,NL,S,
EN,NL,M,
EN,MX,L,
EN,MX,S,
EN,MX,M,
EN,CA,L,52396.0
EN,CA,S,
EN,CA,M,59500.0
EN,AT,L,
EN,AT,S,
EN,AT,M,
EN,NG,L,
EN,NG,S,10000.0
EN,NG,M,
EN,ES,L,
EN,ES,S,
EN,ES,M,10354.0
EN,PT,L,21983.0
EN,PT,S,
EN,PT,M,
EN,DK,L,
EN,DK,S,37252.5
EN,DK,M,
EN,IT,L,
EN,IT,S,21669.0
EN,IT,M,
EN,HR,L,
EN,HR,S,
EN,HR,M,
EN,LU,L,59102.0
EN,LU,S,
EN,LU,M,10000.0
EN,PL,L,
EN,PL,S,
EN,PL,M,
EN,SG,L,
EN,SG,S,
EN,SG,M,
EN,RO,L,
EN,RO,S,
EN,RO,M,
EN,IQ,L,
EN,IQ,S,100000.0
EN,IQ,M,
EN,BR,L,
EN,BR,S,
EN,BR,M,
EN,BE,L,
EN,BE,S,
EN,BE,M,
EN,UA,L,13400.0
EN,UA,S,
EN,UA,M,
EN,IL,L,
EN,IL,S,
EN,IL,M,
EN,RU,L,
EN,RU,S,
EN,RU,M,
EN,MT,L,
EN,MT,S,
EN,MT,M,
EN,CL,L,
EN,CL,S,
EN,CL,M,
EN,IR,L,
EN,IR,S,
EN,IR,M,
EN,CO,L,
EN,CO,S,
EN,CO,M,21844.0
EN,MD,L,
EN,MD,S,
EN,MD,M,
EN,KE,L,
EN,KE,S,9272.0
EN,KE,M,
EN,SI,L,
EN,SI,S,
EN,SI,M,
EN,CH,L,5882.0
EN,CH,S,
EN,CH,M,
EN,VN,L,
EN,VN,S,
EN,VN,M,4000.0
EN,AS,L,
EN,AS,S,18053.0
EN,AS,M,
EN,TR,L,
EN,TR,S,
EN,TR,M,
EN,CZ,L,
EN,CZ,S,
EN,CZ,M,31875.0
EN,DZ,L,
EN,DZ,S,
EN,DZ,M,100000.0
EN,EE,L,
EN,EE,S,
EN,EE,M,
EN,MY,L,40000.0
EN,MY,S,
EN,MY,M,
EN,AU,L,
EN,AU,S,150000.0
EN,AU,M,86703.0
EN,IE,L,
EN,IE,S,
EN,IE,M,
EX,DE,L,141846.0
EX,DE,S,
EX,DE,M,130026.0
EX,JP,L,
EX,JP,S,
EX,JP,M,
EX,GB,L,
EX,GB,S,
EX,GB,M,
EX,HN,L,
EX,HN,S,
EX,HN,M,
EX,US,L,312000.0
EX,US,S,416000.0
EX,US,M,192387.5
EX,HU,L,
EX,HU,S,
EX,HU,M,
EX,NZ,L,
EX,NZ,S,
EX,NZ,M,
EX,FR,L,
EX,FR,S,
EX,FR,M,
EX,IN,L,79039.0
EX,IN,S,
EX,IN,M,
EX,PK,L,
EX,PK,S,
EX,PK,M,
EX,CN,L,
EX,CN,S,
EX,CN,M,
EX,GR,L,
EX,GR,S,
EX,GR,M,
EX,AE,L,
EX,AE,S,
EX,AE,M,
EX,NL,L,
EX,NL,S,
EX,NL,M,
EX,MX,L,
EX,MX,S,
EX,MX,M,
EX,CA,L,196979.0
EX,CA,S,118187.0
EX,CA,M,
EX,AT,L,
EX,AT,S,
EX,AT,M,
EX,NG,L,
EX,NG,S,
EX,NG,M,
EX,ES,L,79833.0
EX,ES,S,69741.0
EX,ES,M,
EX,PT,L,
EX,PT,S,
EX,PT,M,
EX,DK,L,
EX,DK,S,
EX,DK,M,
EX,IT,L,
EX,IT,S,
EX,IT,M,
EX,HR,L,
EX,HR,S,
EX,HR,M,
EX,LU,L,
EX,LU,S,
EX,LU,M,
EX,PL,L,153667.0
EX,PL,S,
EX,PL,M,
EX,SG,L,
EX,SG,S,
EX,SG,M,
